product_type,sku,product_name,short_description,long_description,stock_levels,category,images
RU,074200464-3,American Pie 2,non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit,varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus,15,Comedy,http://dummyimage.com/151x100.png/cc0000/ffffff
SE,175096666-2,"Kid, The",at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non,phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie hendrerit at vulputate vitae nisl aenean lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar,7,Comedy|Fantasy,http://dummyimage.com/153x100.png/dddddd/000000
US,811026516-2,Cherry Blossoms (Kirschblüten - Hanami),faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis,cras pellentesque volutpat dui maecenas tristique est et tempus semper est quam pharetra magna ac consequat metus sapien ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae mauris viverra diam vitae quam suspendisse potenti nullam porttitor lacus at turpis donec posuere metus,20,Drama|Romance,http://dummyimage.com/223x100.png/dddddd/000000
AF,466043538-5,I Spy,platea dictumst etiam faucibus cursus urna ut tellus nulla ut,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo,9,Action|Adventure|Comedy|Crime,http://dummyimage.com/198x100.png/ff4444/ffffff
CN,551228787-7,Yellow Submarine,eget eleifend luctus ultricies eu nibh quisque id justo sit,vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque,26,Adventure|Animation|Comedy|Fantasy|Musical,http://dummyimage.com/138x100.png/dddddd/000000
BA,875993206-6,Grand Hotel,tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl ut volutpat sapien,fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,41,Drama|Romance,http://dummyimage.com/177x100.png/5fa2dd/ffffff
PL,161164909-9,Severance,purus sit amet nulla quisque arcu libero rutrum ac lobortis vel,dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien placerat ante nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse accumsan tortor,29,Comedy|Horror|Thriller,http://dummyimage.com/200x100.png/cc0000/ffffff
MK,303365804-0,Beloved/Friend (a.k.a. Amigo/Amado) (Amic/Amat),tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,40,Drama,http://dummyimage.com/157x100.png/dddddd/000000
CN,308372942-1,El asombroso mundo de Borjamari y Pocholo,amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce,augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas rhoncus aliquam,3,(no genres listed),http://dummyimage.com/116x100.png/ff4444/ffffff
PE,719697471-9,Wedding Bell Blues,lectus pellentesque eget nunc donec quis orci eget orci vehicula condimentum curabitur in libero ut massa volutpat,habitasse platea dictumst etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel,17,Comedy,http://dummyimage.com/191x100.png/cc0000/ffffff
PT,189439065-2,Mercury Rising,ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit,convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum sit amet cursus id turpis integer aliquet massa id lobortis convallis tortor,3,Action|Drama|Thriller,http://dummyimage.com/203x100.png/dddddd/000000
DK,746317687-8,New Scenes from America,mi integer ac neque duis bibendum morbi non quam nec,cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus arcu adipiscing molestie,43,Documentary,http://dummyimage.com/249x100.png/5fa2dd/ffffff
CG,200781068-9,Gordy,eu felis fusce posuere felis sed lacus morbi sem mauris laoreet,interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam,32,Children|Comedy|Fantasy,http://dummyimage.com/225x100.png/dddddd/000000
ID,665897368-7,Buffy the Vampire Slayer,ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam,ut odio cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices phasellus id sapien in,21,Action|Comedy|Horror,http://dummyimage.com/220x100.png/5fa2dd/ffffff
CN,473739230-8,"Eagle Has Landed, The",id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in,nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper augue a,9,Drama|War,http://dummyimage.com/142x100.png/dddddd/000000
PE,918039978-9,Iraq for Sale: The War Profiteers,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla sed vel enim sit amet nunc,eget tempus vel pede morbi porttitor lorem id ligula suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus,50,Documentary,http://dummyimage.com/189x100.png/dddddd/000000
FR,444976868-X,"Man Who Cried, The",cras mi pede malesuada in imperdiet et commodo vulputate justo in blandit,sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue diam id ornare imperdiet sapien urna pretium nisl,36,Drama,http://dummyimage.com/100x100.png/ff4444/ffffff
ID,702631325-8,Lesson Plan ,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor,congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis,46,Documentary,http://dummyimage.com/230x100.png/cc0000/ffffff
AO,021670597-5,The Wayward Girl,duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor,ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis odio donec vitae nisi nam ultrices libero non mattis pulvinar nulla pede ullamcorper,31,Drama,http://dummyimage.com/221x100.png/5fa2dd/ffffff
CN,954904288-X,Lightning in a Bottle,nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus mauris enim leo rhoncus sed vestibulum,vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent id massa id nisl venenatis lacinia aenean sit amet justo morbi ut odio cras mi pede malesuada in imperdiet,40,Documentary,http://dummyimage.com/101x100.png/5fa2dd/ffffff
SE,334821078-X,"Freshman, The",posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante,elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis,9,Comedy,http://dummyimage.com/136x100.png/dddddd/000000
PE,440939091-0,Hedd Wyn,libero non mattis pulvinar nulla pede ullamcorper augue a suscipit nulla elit ac nulla,imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed,50,Drama|Romance|War,http://dummyimage.com/118x100.png/ff4444/ffffff
RU,784995731-8,Fingers,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio,etiam faucibus cursus urna ut tellus nulla ut erat id mauris vulputate elementum nullam varius nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget,12,Drama,http://dummyimage.com/113x100.png/5fa2dd/ffffff
BW,881464870-0,Omega Doom,turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh,erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae mattis nibh ligula nec sem duis aliquam convallis nunc proin at turpis,44,Sci-Fi,http://dummyimage.com/204x100.png/dddddd/000000
IT,061144744-4,Ferngully: The Last Rainforest,in faucibus orci luctus et ultrices posuere cubilia curae nulla dapibus dolor vel est donec odio justo,molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam vel augue vestibulum rutrum,40,Animation|Children|Comedy|Musical,http://dummyimage.com/155x100.png/ff4444/ffffff
CO,967226637-5,Gotcha!,a nibh in quis justo maecenas rhoncus aliquam lacus morbi,nulla facilisi cras non velit nec nisi vulputate nonummy maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien,15,Comedy,http://dummyimage.com/121x100.png/dddddd/000000
CN,069873474-2,Journey for Margaret,in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse platea dictumst,bibendum morbi non quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus aliquet at feugiat non pretium quis lectus suspendisse potenti in eleifend quam a odio,25,Drama|War,http://dummyimage.com/244x100.png/ff4444/ffffff
SD,665378604-8,Cockfighter,quisque arcu libero rutrum ac lobortis vel dapibus at diam nam tristique tortor,morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie nibh in lectus pellentesque at nulla suspendisse potenti cras in purus,49,Drama,http://dummyimage.com/134x100.png/5fa2dd/ffffff
PH,367127381-X,I Want Someone to Eat Cheese With,proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam turpis adipiscing lorem vitae,turpis donec posuere metus vitae ipsum aliquam non mauris morbi non lectus aliquam sit amet diam in magna bibendum imperdiet nullam orci pede venenatis non sodales sed tincidunt eu felis fusce posuere felis,2,Comedy,http://dummyimage.com/207x100.png/ff4444/ffffff
LT,072625145-3,Direct Action,ante vivamus tortor duis mattis egestas metus aenean fermentum donec ut,vestibulum quam sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat dui,9,Action|Crime|Thriller,http://dummyimage.com/236x100.png/dddddd/000000
FR,521445282-9,Suspicious River,sem duis aliquam convallis nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget,suspendisse ornare consequat lectus in est risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu est congue elementum in hac habitasse,19,Drama,http://dummyimage.com/177x100.png/dddddd/000000
DE,637321069-3,Spaceballs,posuere felis sed lacus morbi sem mauris laoreet ut rhoncus aliquet pulvinar sed nisl nunc rhoncus dui,vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum proin eu mi,22,Comedy|Sci-Fi,http://dummyimage.com/155x100.png/5fa2dd/ffffff
US,009893563-1,Superheroes,ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis duis consequat,nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices,50,Action|Comedy|Documentary|Drama,http://dummyimage.com/120x100.png/5fa2dd/ffffff
AF,173348120-6,Winnetou: The Last Shot,leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus vivamus in felis eu sapien cursus vestibulum,elementum pellentesque quisque porta volutpat erat quisque erat eros viverra eget congue eget semper rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat in consequat,28,Action|Adventure|Western,http://dummyimage.com/110x100.png/cc0000/ffffff
